x1,stratum,species.x,years,density_trend,density_f,density_95_percent_ci,occupancy_trend,occupancy_f,occupancy_95_percent_ci,scientific_name,taxon_id,gbif_taxonID,kingdom,phylum,class,order,family,genus,species.y
4296,CO-BCR16-SA: San Juan National Forest,Western Meadowlark,2008-2024,1.14,0.566666666666667,"(-11.14, 16.12)",-1.71,0.5975,"(-14.19, 12.51)",Sturnella neglecta,9596413,9596413,Animalia,Chordata,Aves,Passeriformes,Icteridae,Sturnella,Sturnella neglecta
4297,CO-BCR16-SA: San Juan National Forest,Western Tanager,2008-2024,5.24,0.999166666666667,"(1.6, 8.94)",6.72,1,"(2.64, 10.86)",Piranga ludoviciana,2488484,2488484,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Piranga,Piranga ludoviciana
4298,CO-BCR16-SA: San Juan National Forest,Western Wood-Pewee,2008-2024,4.8,0.959375,"(-0.55, 10.02)",3.54,0.921,"(-1.33, 8.45)",Contopus sordidulus,5229754,5229754,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,Contopus sordidulus
4299,CO-BCR16-SA: San Juan National Forest,White-breasted Nuthatch,2008-2024,-0.46,0.5625,"(-6.67, 5.53)",-2.31,0.7425,"(-9.03, 4.89)",Sitta carolinensis,2484892,2484892,Animalia,Chordata,Aves,Passeriformes,Sittidae,Sitta,Sitta carolinensis
4300,CO-BCR16-SA: San Juan National Forest,White-crowned Sparrow,2008-2024,0.08,0.509375,"(-7.33, 7.76)",-4.12,0.894,"(-10.55, 2.21)",Zonotrichia leucophrys,5231132,5231132,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Zonotrichia,Zonotrichia leucophrys
4301,CO-BCR16-SA: San Juan National Forest,White-tailed Ptarmigan,2008-2024,-0.99,0.555,"(-16.62, 15.39)",-1.42,0.591,"(-15.69, 15.22)",Lagopus leucura,5227717,5227717,Animalia,Chordata,Aves,Galliformes,Phasianidae,Lagopus,Lagopus leucura
4302,CO-BCR16-SA: San Juan National Forest,White-throated Swift,2008-2024,-1.5,0.584,"(-14.46, 13.87)",-4.45,0.756,"(-16.13, 8.65)",Aeronautes saxatalis,2477108,2477108,Animalia,Chordata,Aves,Apodiformes,Apodidae,Aeronautes,Aeronautes saxatalis
4303,CO-BCR16-SA: San Juan National Forest,Wild Turkey,2008-2024,5.98,0.823,"(-6.55, 20.39)",1.58,0.614375,"(-8.93, 13.64)",Meleagris gallopavo,9606290,9606290,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,Meleagris gallopavo
4304,CO-BCR16-SA: San Juan National Forest,Williamson's Sapsucker,2008-2024,11.24,0.984,"(1.71, 28.33)",8.55,0.930833333333333,"(-2.66, 23.46)",Sphyrapicus thyroideus,2478602,2478602,Animalia,Chordata,Aves,Piciformes,Picidae,Sphyrapicus,Sphyrapicus thyroideus
4305,CO-BCR16-SA: San Juan National Forest,Wilson's Warbler,2008-2024,-3.93,0.773,"(-15.2, 8.95)",-4.97,0.859,"(-15.5, 4.21)",Cardellina pusilla,7341606,7341606,Animalia,Chordata,Aves,Passeriformes,Parulidae,Cardellina,Cardellina pusilla
4306,CO-BCR16-SA: San Juan National Forest,Woodhouse's Scrub-Jay,2008-2024,9.73,0.914,"(-3.26, 26.94)",5,0.776,"(-7.38, 20.48)",Aphelocoma woodhouseii,5844900,5844900,Animalia,Chordata,Aves,Passeriformes,Corvidae,Aphelocoma,Aphelocoma woodhouseii
4307,CO-BCR16-SA: San Juan National Forest,Yellow Warbler,2008-2024,-2.41,0.675,"(-11.91, 8.83)",-6.62,0.9145,"(-15.46, 3.27)",Setophaga petechia,7341834,7341834,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga petechia
